Phylum,Class,Order,Family,Genus,Species,Taxa,TSN,Common_name,Sex,Size_Maturity,Season_or_doy,Capture_method,Region,LME_Continent,Ocean_Freshwater,Storage_method,Storage_duration_years,Methodology,Sample_Type,N_replicates,Size_min_mm,Size_max_mm,Size_min_g,Size_max_g,Ash_perc,H2O_perc,Lipid_perc,AFLDM,Dry_KJg_mean,Dry_KJg_SD,Ash_KJg,Wet_KJg_mean,Wet_KJg_SD,Wet_KJg_min,Wet_KJg_max,Indigestible_perc,Publication_Type,Publication_Author,Publication_Journal,Publication_Year,Notes
Chordata,Cephalopoda,Teuthida,N/A,N/A,N/A,Teuthida,82367,Squid,NA,N/A,July-August,Midwater trawls,Bering Sea,East Bering Sea,Pacific,Frozen,1,Proximate composition,Whole body,97,NA,NA,NA,NA,NA,77.2,2.57,NA,20.8,2.5,NA,4.75,1.1,NA,NA,NA,Original,Whitman,Thesis--Oregon State University,2010,N/A
Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Atheresthes,stomias,Atheresthes stomias,172862,Arrowtooth flounder,NA,N/A,July-August,Midwater trawls,Bering Sea,East Bering Sea,Pacific,Frozen,1,Proximate composition,Whole body,31,NA,NA,NA,NA,NA,80.5,9.19,NA,17.3,1,NA,3.39,0.402,NA,NA,NA,Original,Whitman,Thesis--Oregon State University,2010,N/A
Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Reinhardtius,hippoglossoides,Reinhardtius hippoglossoides,172930,Greenland halibut,NA,N/A,July-August,Midwater trawls,Bering Sea,East Bering Sea,Pacific,Frozen,1,Proximate composition,Whole body,24,NA,NA,NA,NA,NA,83.5,1.71,NA,17.6,0.4,NA,2.91,0.28,NA,NA,NA,Original,Whitman,Thesis--Oregon State University,2010,N/A
Chordata,Teleostei,Myctophiformes,Myctophidae,Gymnoscopelus,braueri,Gymnoscopelus braueri,623816,N/A,NA,N/A,June,Midwater trawls,Macquarie Ridge,Antarctic,Southern,Frozen,2,Bomb calorimetry,Whole body,28,37,133,NA,NA,NA,70,NA,NA,39,14.3,NA,11.7,4.3,NA,NA,NA,Original,Tierney et al.,Antarctic Science,2002,N/A
Chordata,Teleostei,Myctophiformes,Myctophidae,Electrona,antarctica,Electrona antarctica,623809,N/A,NA,N/A,March,Midwater trawls,Macquarie Ridge,Antarctic,Southern,Frozen,2,Bomb calorimetry,Whole body,30,30,73,NA,NA,NA,69.9,NA,NA,30.8,9.7,NA,9.26,2.9,NA,NA,NA,Original,Tierney et al.,Antarctic Science,2002,N/A
Chordata,Teleostei,Stomiiformes,Stomiidae,Stomias,gracilis,Stomias gracilis,622678,N/A,NA,N/A,March,Midwater trawls,Macquarie Ridge,Antarctic,Southern,Frozen,2,Bomb calorimetry,Whole body,30,130,278,NA,NA,NA,77.8,NA,NA,23.2,3,NA,5.15,0.664,NA,NA,NA,Original,Tierney et al.,Antarctic Science,2002,N/A
Chordata,Teleostei,Myctophiformes,Myctophidae,Electrona,subaspera,Electrona subaspera,623811,N/A,NA,N/A,May,Midwater trawls,Macquarie Ridge,Antarctic,Southern,Frozen,2,Bomb calorimetry,Whole body,6,70,117,NA,NA,NA,72.1,NA,NA,26.6,1.2,NA,7.41,0.321,NA,NA,NA,Original,Tierney et al.,Antarctic Science,2002,N/A
Chordata,Teleostei,Osmeriformes,Alepocephalidae,Bajacalifornia,burragei,Bajacalifornia burragei,162350,N/A,NA,Large Adult,N/A,Midwater trawls,Southern California,California Current,Pacific,Frozen,8,Proximate composition,Whole body,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38,NA,NA,NA,NA,Review,Childress et al.,Marine Biology,1980,N/A
Chordata,Teleostei,Osmeriformes,Bathylagidae,Leuroglossus,stilbius,Leuroglossus stilbius,162096,N/A,NA,Large Adult,N/A,Midwater trawls,Southern California,California Current,Pacific,Frozen,8,Proximate composition,Whole body,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.18,NA,NA,NA,NA,Review,Childress et al.,Marine Biology,1980,N/A
Chordata,Teleostei,Osmeriformes,Bathylagidae,Bathylagus,milleri,Bathylagus milleri,162084,N/A,NA,Large Adult,N/A,Midwater trawls,Southern California,California Current,Pacific,Frozen,8,Proximate composition,Whole body,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.51,NA,NA,NA,NA,Review,Childress et al.,Marine Biology,1980,N/A
Chordata,Teleostei,Stomiiformes,Stomiidae,Borostomias,panamensis,Borostomias panamensis,162241,N/A,NA,Large Adult,N/A,Midwater trawls,Southern California,California Current,Pacific,Frozen,8,Proximate composition,Whole body,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93,NA,NA,NA,NA,Review,Childress et al.,Marine Biology,1980,N/A
Chordata,Teleostei,Myctophiformes,Myctophidae,Triphoturus,mexicanus,Triphoturus mexicanus,162766,Mexican lampfish,NA,Large Adult,N/A,Midwater trawls,Southern California,California Current,Pacific,Frozen,8,Proximate composition,Whole body,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.28,NA,NA,NA,NA,Review,Childress et al.,Marine Biology,1980,N/A
Chordata,Teleostei,Myctophiformes,Myctophidae,Lampanyctus,ritteri,Lampanyctus ritteri,162635,N/A,NA,Large Adult,N/A,Midwater trawls,Southern California,California Current,Pacific,Frozen,8,Proximate composition,Whole body,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.36,NA,NA,NA,NA,Review,Childress et al.,Marine Biology,1980,N/A
Chordata,Teleostei,Clupeiformes,Clupeidae,Sardinops,caeruleus,Sardinops caeruleus,161730,N/A,NA,Large Adult,N/A,Midwater trawls,Southern California,California Current,Pacific,Frozen,8,Proximate composition,Whole body,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.86,NA,NA,NA,NA,Review,Childress et al.,Marine Biology,1980,N/A
Chordata,Teleostei,Myctophiformes,Myctophidae,Stenobrachius,leucopsarus,Stenobrachius leucopsarus,162664,N/A,NA,Large Adult,N/A,Midwater trawls,Southern California,California Current,Pacific,Frozen,8,Proximate composition,Whole body,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.61,NA,NA,NA,NA,Review,Childress et al.,Marine Biology,1980,N/A
Chordata,Teleostei,Stephanoberyciformes,Melamphaidae,Poromitra,crassiceps,Poromitra crassiceps,166108,N/A,NA,Large Adult,N/A,Midwater trawls,Southern California,California Current,Pacific,Frozen,8,Proximate composition,Whole body,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.72,NA,NA,NA,NA,Review,Childress et al.,Marine Biology,1980,N/A
Chordata,Teleostei,Myctophiformes,Myctophidae,Lampanyctus,regalis,Lampanyctus regalis,162634,N/A,NA,Large Adult,N/A,Midwater trawls,Southern California,California Current,Pacific,Frozen,8,Proximate composition,Whole body,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.51,NA,NA,NA,NA,Review,Childress et al.,Marine Biology,1980,N/A
Chordata,Teleostei,Aulopiformes,Scopelarchidae,Benthalbella,dentata,Benthalbella dentata,162550,Northern pearleye,NA,N/A,N/A,Midwater trawls,SEAK,Gulf of Alaska,Pacific,Frozen,3,Bomb calorimetry,Whole body,3,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,10.8,NA,NA,NA,NA,Original,Clare,"Thesis--University of California, Santa Cruz",2016,N/A
Chordata,Teleostei,Perciformes,Gempylidae,Diplospinus,multistriatus,Diplospinus multistriatus,172376,Striped escolar,NA,N/A,N/A,Midwater trawls,SEAK,Gulf of Alaska,Pacific,Frozen,3,Bomb calorimetry,Whole body,3,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,10.2,NA,NA,NA,NA,Original,Clare,"Thesis--University of California, Santa Cruz",2016,N/A
Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,gigas,Diaphus gigas,623771,Lanternfish,NA,N/A,N/A,Midwater trawls,SEAK,Gulf of Alaska,Pacific,Frozen,3,Bomb calorimetry,Whole body,3,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,7.37,NA,NA,NA,NA,Original,Clare,"Thesis--University of California, Santa Cruz",2016,N/A
Chordata,Teleostei,Myctophiformes,Myctophidae,Lampadena,yaquinae,Lampadena yaquinae,623826,N/A,NA,N/A,N/A,Midwater trawls,SEAK,Gulf of Alaska,Pacific,Frozen,3,Bomb calorimetry,Whole body,3,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,7.93,NA,NA,NA,NA,Original,Clare,"Thesis--University of California, Santa Cruz",2016,N/A
Chordata,Teleostei,Anguilliformes,Nemichthyidae,Avocettina,infans,Avocettina infans,161619,Avocet snipe-eel,NA,N/A,N/A,Midwater trawls,SEAK,Gulf of Alaska,Pacific,Frozen,3,Bomb calorimetry,Whole body,3,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,7.75,NA,NA,NA,NA,Original,Clare,"Thesis--University of California, Santa Cruz",2016,N/A
Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,theta,Diaphus theta,162584,California headlightfish,NA,N/A,N/A,Midwater trawls,SEAK,Gulf of Alaska,Pacific,Frozen,3,Bomb calorimetry,Whole body,3,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,6.67,NA,NA,NA,NA,Original,Clare,"Thesis--University of California, Santa Cruz",2016,N/A
Chordata,Teleostei,Perciformes,Icosteidae,Icosteus,aenigmaticus,Icosteus aenigmaticus,171663,Ragfish,NA,N/A,N/A,Midwater trawls,SEAK,Gulf of Alaska,Pacific,Frozen,3,Bomb calorimetry,Whole body,3,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,Original,Clare,"Thesis--University of California, Santa Cruz",2016,N/A
Chordata,Teleostei,Myctophiformes,Myctophidae,Electrona,risso,Electrona risso,623732,Electric lanternfish,NA,N/A,N/A,Midwater trawls,SEAK,Gulf of Alaska,Pacific,Frozen,3,Bomb calorimetry,Whole body,3,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,5.16,NA,NA,NA,NA,Original,Clare,"Thesis--University of California, Santa Cruz",2016,N/A
Chordata,Teleostei,Stomiiformes,Stomiidae,Chauliodus,macouni,Chauliodus macouni,162279,Pacific viperfish,NA,N/A,N/A,Midwater trawls,SEAK,Gulf of Alaska,Pacific,Frozen,3,Bomb calorimetry,Whole body,3,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,5.72,NA,NA,NA,NA,Original,Clare,"Thesis--University of California, Santa Cruz",2016,N/A
Chordata,Teleostei,Myctophiformes,Myctophidae,Lampanyctus,jordani,Lampanyctus jordani,162633,Brokenline lanternfish,NA,N/A,N/A,Midwater trawls,SEAK,Gulf of Alaska,Pacific,Frozen,3,Bomb calorimetry,Whole body,3,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,Original,Clare,"Thesis--University of California, Santa Cruz",2016,N/A
Chordata,Teleostei,Beryciformes,Anoplogastridae,Anoplogaster,cornuta,Anoplogaster cornuta,166152,Common fangtooth,NA,N/A,N/A,Midwater trawls,SEAK,Gulf of Alaska,Pacific,Frozen,3,Bomb calorimetry,Whole body,3,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,5.11,NA,NA,NA,NA,Original,Clare,"Thesis--University of California, Santa Cruz",2016,N/A
Chordata,Teleostei,Myctophiformes,Myctophidae,Protomyctophum,andriashevi,Protomyctophum andriashevi,623861,N/A,NA,N/A,November,Midwater trawls,Macquarie Ridge,Antarctic,Southern,Frozen,2,Bomb calorimetry,Whole body,18,23,51,NA,NA,NA,75.7,NA,NA,39.3,21.5,NA,9.54,5.22,NA,NA,NA,Original,Tierney et al.,Antarctic Science,2002,N/A
Chordata,Teleostei,Myctophiformes,Myctophidae,Lampanyctus,achirus,Lampanyctus achirus,182881,N/A,NA,N/A,October,Midwater trawls,Macquarie Ridge,Antarctic,Southern,Frozen,2,Bomb calorimetry,Whole body,30,35,147,NA,NA,NA,78.5,NA,NA,28.5,14.4,NA,6.12,3.1,NA,NA,NA,Original,Tierney et al.,Antarctic Science,2002,N/A
Chordata,Thaliacea,Pyrosomida,Pyrosomatidae,Pyrosoma,atlanticum,Pyrosoma atlanticum,159636,N/A,NA,N/A,September,Midwater trawls,West Mauritania coast,Canary Current,Atlantic,Frozen,0.083333333,Wet Oxidation,Whole colony,4,NA,NA,16.5,52.6,2.51,93.7,NA,NA,4.9,NA,NA,0.312,NA,NA,NA,NA,Original,Davenport and Balazs,British Herpetological Society Bulletin,1991,N/A
Chordata,Teleostei,Myctophiformes,Myctophidae,Krefftichthys,anderssoni,Krefftichthys anderssoni,623731,N/A,NA,N/A,September,Midwater trawls,Macquarie Ridge,Antarctic,Southern,Frozen,2,Bomb calorimetry,Whole body,50,40,69,NA,NA,NA,69.8,NA,NA,27.5,2.8,NA,8.32,0.83,NA,NA,NA,Original,Tierney et al.,Antarctic Science,2002,N/A
Chordata,Teleostei,Perciformes,Sillaginidae,Sillago,sihama,Sillago sihama,168536,N/A,NA,N/A,April,N/A,"Zuari estuary, Goa, India",Arabian Sea,Indian,N/A,NA,Proximate composition,Muscle,NA,NA,NA,NA,NA,NA,76.7,2.83,23.7,NA,NA,NA,6.88,NA,NA,NA,NA,Original,Shamsan and Ansari,Indian Journal of Fisheries,2010,N/A
Chordata,Teleostei,Perciformes,Sillaginidae,Sillago,sihama,Sillago sihama,168536,N/A,NA,N/A,April,N/A,"Zuari estuary, Goa, India",Arabian Sea,Indian,N/A,NA,Proximate composition,Muscle,NA,NA,NA,NA,NA,NA,78.5,3.05,23.2,NA,NA,NA,6.78,NA,NA,NA,NA,Original,Shamsan and Ansari,Indian Journal of Fisheries,2010,N/A
Mollusca,Scaphopoda,Dentaliida,Dentaliidae,Antalis,entale,Antalis entale,82152,N/A,NA,N/A,April,N/A,Passmaquoddy Bay,Scotian Shelf,Atlantic,Frozen,0.5,Bomb calorimetry,Pooled whole body,1,NA,NA,NA,NA,NA,73,NA,NA,19.1,NA,NA,0.925,NA,NA,NA,82,Original,Tyler,Marine Biology,1973,N/A
Arthropoda,Malacostraca,Decapoda,Thoridae,Spirontocaris,N/A,Spirontocaris,96756,N/A,NA,N/A,April,N/A,Passmaquoddy Bay,Scotian Shelf,Atlantic,Frozen,0.5,Bomb calorimetry,Pooled whole body,1,NA,NA,NA,NA,NA,78,NA,NA,17,NA,NA,3.74,NA,NA,NA,NA,Original,Tyler,Marine Biology,1973,N/A
Chordata,Teleostei,Osmeriformes,Osmeridae,Thaleichthys,pacificus,Thaleichthys pacificus,162051,Eulachon,NA,Prespawned,April-May,N/A,"Berners Bay, Alaska",Gulf of Alaska,Pacific,Frozen,0.25,Proximate composition,Whole body,NA,173,185,35.4,43.2,NA,NA,NA,NA,NA,NA,NA,9.7,0.24,NA,NA,NA,Original,Sigler et al.,Canadian Journal of Fisheries and Aquatic Sciences,2004,N/A
Chordata,Teleostei,Perciformes,Sillaginidae,Sillago,sihama,Sillago sihama,168536,N/A,NA,N/A,August,N/A,"Zuari estuary, Goa, India",Arabian Sea,Indian,N/A,NA,Proximate composition,Muscle,NA,NA,NA,NA,NA,NA,78.1,3.12,22.6,NA,NA,NA,6.66,NA,NA,NA,NA,Original,Shamsan and Ansari,Indian Journal of Fisheries,2010,N/A
Chordata,Teleostei,Perciformes,Sillaginidae,Sillago,sihama,Sillago sihama,168536,N/A,NA,N/A,December,N/A,"Zuari estuary, Goa, India",Arabian Sea,Indian,N/A,NA,Proximate composition,Muscle,NA,NA,NA,NA,NA,NA,76.2,3.04,21.2,NA,NA,NA,6.29,NA,NA,NA,NA,Original,Shamsan and Ansari,Indian Journal of Fisheries,2010,N/A
Arthropoda,Malacostraca,Mysida,Mysidae,Mysis,stenolepis,Mysis stenolepis,90047,N/A,NA,N/A,Fall and Winter,N/A,Passmaquoddy Bay,Scotian Shelf,Atlantic,Frozen,0.5,Bomb calorimetry,Pooled whole body,3,NA,NA,NA,NA,NA,79,NA,NA,19.7,NA,NA,4.14,NA,NA,NA,NA,Original,Tyler,Marine Biology,1973,N/A
Chordata,Teleostei,Perciformes,Sillaginidae,Sillago,sihama,Sillago sihama,168536,N/A,NA,N/A,February,N/A,"Zuari estuary, Goa, India",Arabian Sea,Indian,N/A,NA,Proximate composition,Muscle,NA,NA,NA,NA,NA,NA,77.1,3.76,23,NA,NA,NA,7.01,NA,NA,NA,NA,Original,Shamsan and Ansari,Indian Journal of Fisheries,2010,N/A
Chordata,Teleostei,Perciformes,Sillaginidae,Sillago,sihama,Sillago sihama,168536,N/A,NA,N/A,February,N/A,"Zuari estuary, Goa, India",Arabian Sea,Indian,N/A,NA,Proximate composition,Muscle,NA,NA,NA,NA,NA,NA,79.3,2.25,19.1,NA,NA,NA,5.51,NA,NA,NA,NA,Original,Shamsan and Ansari,Indian Journal of Fisheries,2010,N/A
Chordata,Teleostei,Perciformes,Sillaginidae,Sillago,sihama,Sillago sihama,168536,N/A,NA,N/A,January,N/A,"Zuari estuary, Goa, India",Arabian Sea,Indian,N/A,NA,Proximate composition,Muscle,NA,NA,NA,NA,NA,NA,77.4,3,22.7,NA,NA,NA,6.47,NA,NA,NA,NA,Original,Shamsan and Ansari,Indian Journal of Fisheries,2010,N/A
Chordata,Teleostei,Perciformes,Sillaginidae,Sillago,sihama,Sillago sihama,168536,N/A,NA,N/A,January,N/A,"Zuari estuary, Goa, India",Arabian Sea,Indian,N/A,NA,Proximate composition,Muscle,NA,NA,NA,NA,NA,NA,79.3,3.2,19.2,NA,NA,NA,5.88,NA,NA,NA,NA,Original,Shamsan and Ansari,Indian Journal of Fisheries,2010,N/A
Chordata,Teleostei,Perciformes,Sillaginidae,Sillago,sihama,Sillago sihama,168536,N/A,NA,N/A,July,N/A,"Zuari estuary, Goa, India",Arabian Sea,Indian,N/A,NA,Proximate composition,Muscle,NA,NA,NA,NA,NA,NA,77,3.79,21.6,NA,NA,NA,6.69,NA,NA,NA,NA,Original,Shamsan and Ansari,Indian Journal of Fisheries,2010,N/A
Chordata,Teleostei,Perciformes,Sillaginidae,Sillago,sihama,Sillago sihama,168536,N/A,NA,N/A,June,N/A,"Zuari estuary, Goa, India",Arabian Sea,Indian,N/A,NA,Proximate composition,Muscle,NA,NA,NA,NA,NA,NA,77,4.07,24.7,NA,NA,NA,7.53,NA,NA,NA,NA,Original,Shamsan and Ansari,Indian Journal of Fisheries,2010,N/A
Chordata,Teleostei,Perciformes,Sillaginidae,Sillago,sihama,Sillago sihama,168536,N/A,NA,N/A,March,N/A,"Zuari estuary, Goa, India",Arabian Sea,Indian,N/A,NA,Proximate composition,Muscle,NA,NA,NA,NA,NA,NA,76.6,3.87,20.5,NA,NA,NA,6.46,NA,NA,NA,NA,Original,Shamsan and Ansari,Indian Journal of Fisheries,2010,N/A
Chordata,Teleostei,Perciformes,Sillaginidae,Sillago,sihama,Sillago sihama,168536,N/A,NA,N/A,March,N/A,"Zuari estuary, Goa, India",Arabian Sea,Indian,N/A,NA,Proximate composition,Muscle,NA,NA,NA,NA,NA,NA,79.1,2.65,22.8,NA,NA,NA,6.49,NA,NA,NA,NA,Original,Shamsan and Ansari,Indian Journal of Fisheries,2010,N/A
Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,araneus,Hyas araneus,98426,Great spider crab,NA,N/A,March,N/A,Passmaquoddy Bay,Scotian Shelf,Atlantic,Frozen,0.5,Bomb calorimetry,Pooled whole body,1,NA,NA,NA,NA,NA,81,NA,NA,20.7,NA,NA,2.68,NA,NA,NA,32,Original,Tyler,Marine Biology,1973,N/A
Chordata,Teleostei,Perciformes,Sillaginidae,Sillago,sihama,Sillago sihama,168536,N/A,NA,N/A,May,N/A,"Zuari estuary, Goa, India",Arabian Sea,Indian,N/A,NA,Proximate composition,Muscle,NA,NA,NA,NA,NA,NA,77.9,4.19,22.4,NA,NA,NA,7,NA,NA,NA,NA,Original,Shamsan and Ansari,Indian Journal of Fisheries,2010,N/A
Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,penicillatus,Phalacrocorax penicillatus,174724,Cormorant,NA,Chick,May-July,N/A,"Southeast Farallon Island, California",California Current,Pacific,N/A,10,Bomb calorimetry,Whole body,3,NA,NA,NA,NA,NA,NA,NA,NA,22.3,NA,NA,6.23,NA,NA,NA,NA,Original,Spear,Journal of Animal Ecology,1993,N/A
Chordata,Aves,Charadriiformes,Alcidae,Uria,aalge,Uria aalge,176974,Guillemot,NA,Chick,May-July,N/A,"Southeast Farallon Island, California",California Current,Pacific,N/A,10,Bomb calorimetry,Whole body,3,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,7.7,NA,NA,NA,NA,Original,Spear,Journal of Animal Ecology,1993,N/A
Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,penicillatus,Phalacrocorax penicillatus,174724,Cormorant,NA,Egg,May-July,N/A,"Southeast Farallon Island, California",California Current,Pacific,N/A,10,Bomb calorimetry,Whole body,3,NA,NA,NA,NA,NA,NA,NA,NA,24.8,NA,NA,7.07,NA,NA,NA,NA,Original,Spear,Journal of Animal Ecology,1993,N/A
Chordata,Aves,Charadriiformes,Alcidae,Uria,aalge,Uria aalge,176974,Guillemot,NA,Egg,May-July,N/A,"Southeast Farallon Island, California",California Current,Pacific,N/A,10,Bomb calorimetry,Whole body,3,NA,NA,NA,NA,NA,NA,NA,NA,28.9,NA,NA,9.08,NA,NA,NA,NA,Original,Spear,Journal of Animal Ecology,1993,N/A
Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Citharichthys,sordidus,Citharichthys sordidus,172716,N/A,NA,N/A,May-July,N/A,"Southeast Farallon Island, California",California Current,Pacific,N/A,10,Bomb calorimetry,Whole body,3,NA,NA,NA,NA,NA,NA,NA,NA,16.7,NA,NA,3.47,NA,NA,NA,NA,Original,Spear,Journal of Animal Ecology,1993,N/A
Chordata,Teleostei,Ophidiiformes,Ophidiidae,Chilara,taylori,Chilara taylori,165006,N/A,NA,N/A,May-July,N/A,"Southeast Farallon Island, California",California Current,Pacific,N/A,10,Bomb calorimetry,Whole body,3,NA,NA,NA,NA,NA,NA,NA,NA,17.7,NA,NA,3.39,NA,NA,NA,NA,Original,Spear,Journal of Animal Ecology,1993,N/A
Chordata,Teleostei,Batrachoidiformes,Batrachoididae,Porichthys,notatus,Porichthys notatus,164414,N/A,NA,N/A,May-July,N/A,"Southeast Farallon Island, California",California Current,Pacific,N/A,10,Bomb calorimetry,Whole body,3,NA,NA,NA,NA,NA,NA,NA,NA,19.6,NA,NA,5.23,NA,NA,NA,NA,Original,Spear,Journal of Animal Ecology,1993,N/A
Chordata,Teleostei,Osmeriformes,Osmeridae,Spirinchus,starksi,Spirinchus starksi,162048,N/A,NA,N/A,May-July,N/A,"Southeast Farallon Island, California",California Current,Pacific,N/A,10,Bomb calorimetry,Whole body,3,NA,NA,NA,NA,NA,NA,NA,NA,19.8,NA,NA,4.33,NA,NA,NA,NA,Original,Spear,Journal of Animal Ecology,1993,N/A
Mollusca,Cephalopoda,Teuthida,Loliginidae,Loligo,opalescens,Loligo opalescens,82371,N/A,NA,N/A,May-July,N/A,"Southeast Farallon Island, California",California Current,Pacific,N/A,10,Bomb calorimetry,Whole body,3,NA,NA,NA,NA,NA,NA,NA,NA,20.9,NA,NA,4.14,NA,NA,NA,NA,Original,Spear,Journal of Animal Ecology,1993,N/A
Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,jordani,Sebastes jordani,166725,N/A,NA,N/A,May-July,N/A,"Southeast Farallon Island, California",California Current,Pacific,N/A,10,Bomb calorimetry,Whole body,3,NA,NA,NA,NA,NA,NA,NA,NA,21.8,NA,NA,4.85,NA,NA,NA,NA,Original,Spear,Journal of Animal Ecology,1993,N/A
Chordata,Teleostei,Clupeiformes,Engraulidae,Engraulis,mordax,Engraulis mordax,161828,Northern anchovy,NA,N/A,May-July,N/A,"Southeast Farallon Island, California",California Current,Pacific,N/A,10,Bomb calorimetry,Whole body,3,NA,NA,NA,NA,NA,NA,NA,NA,26.7,NA,NA,9.58,NA,NA,NA,NA,Original,Spear,Journal of Animal Ecology,1993,N/A
Chordata,Teleostei,Clupeiformes,Clupeidae,Dorosoma,cepedianum,Dorosoma cepedianum,161737,Gizzard shad,NA,Adult,N/A,N/A,"Cherokee, Dale Hollow, and Old Hickory Reservoirs, Tennessee",North America,Freshwater,Frozen,2,Bomb calorimetry,Pooled whole body,7,NA,100,NA,NA,14.3,75.1,19.2,NA,22.1,0.4,NA,5.51,0.104,NA,NA,NA,Original,Strange and Pelton,Transactions of the American Fisheries Society,1987,N/A
Chordata,Teleostei,Clupeiformes,Clupeidae,Dorosoma,cepedianum,Dorosoma cepedianum,161737,Gizzard shad,NA,age-0,N/A,N/A,"Cherokee, Dale Hollow, and Old Hickory Reservoirs, Tennessee",North America,Freshwater,Frozen,2,Bomb calorimetry,Pooled whole body,7,NA,100,NA,NA,16.9,78.9,7.7,NA,19.2,0.8,NA,4.05,0.168,NA,NA,NA,Original,Strange and Pelton,Transactions of the American Fisheries Society,1987,N/A
Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus,namaycush,Salvelinus namaycush,162002,Lake Trout,Female,,N/A,N/A,Lake Michigan,North America,Freshwater,Frozen,12,Bomb calorimetry,Pooled whole body,23,619,619,2560,2560,1.8,63.3,17.2,NA,29.2,1.2,NA,10.8,1.1,NA,NA,NA,Original,Rottiers and Tucker,USFWS Reports,1982,N/A
Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,Oncorhynchus kisutch,161977,Coho Salmon,Female,,N/A,N/A,Lake Michigan,North America,Freshwater,Frozen,12,Bomb calorimetry,Pooled whole body,25,576,576,2390,2390,1.9,70.4,7.8,NA,25.8,1.4,NA,7.81,1.36,NA,NA,NA,Original,Rottiers and Tucker,USFWS Reports,1982,N/A
Chordata,Teleostei,Clupeiformes,Clupeidae,Alosa,pseudoharengus,Alosa pseudoharengus,161706,Alewife,Female,,N/A,N/A,Lake Michigan,North America,Freshwater,Frozen,12,Bomb calorimetry,Pooled whole body,6,NA,NA,41.6,41.6,3,72.1,7.9,NA,25.2,1.1,NA,6.83,1.1,NA,NA,NA,Original,Rottiers and Tucker,USFWS Reports,1982,N/A
Chordata,Teleostei,Clupeiformes,Clupeidae,Dorosoma,cepedianum,Dorosoma cepedianum,161737,Gizzard shad,Female,Adult,N/A,N/A,"Cherokee, Dale Hollow, and Old Hickory Reservoirs, Tennessee",North America,Freshwater,Frozen,2,Bomb calorimetry,Pooled whole body,6,NA,100,NA,NA,13.5,76.7,13.3,NA,21.6,0.3,NA,5.03,0.078,NA,NA,NA,Original,Strange and Pelton,Transactions of the American Fisheries Society,1987,N/A
Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus,namaycush,Salvelinus namaycush,162002,Lake Trout,Juvenile,Immature,N/A,N/A,Lake Michigan,North America,Freshwater,Frozen,12,Bomb calorimetry,Pooled whole body,36,507,507,1210,1210,1.9,63.6,18,NA,27.1,1.9,NA,8.61,1.9,NA,NA,NA,Original,Rottiers and Tucker,USFWS Reports,1982,N/A
Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,Oncorhynchus kisutch,161977,Coho Salmon,Juvenile,Immature,N/A,N/A,Lake Michigan,North America,Freshwater,Frozen,12,Bomb calorimetry,Pooled whole body,25,503,503,1380,1380,1.9,72.4,5.6,NA,25.1,1.3,NA,6.96,1.13,NA,NA,NA,Original,Rottiers and Tucker,USFWS Reports,1982,N/A
